Name,RouteID
W5 - W5 ANAC-FORT DRUM    (582),W5
W6 - W6 GARFELD-ANAC LOOP (15),W6
W6 - W6 GARFELD-ANAC LOOP (15),W6v1
W8 - W8 GARFELD-ANAC LOOP (15),W8
W8 - W8 GARFELD-ANAC LOOP (15),W8c
W8 - W8 GARFELD-ANAC LOOP (15),W8v1
W9 - W9 SOUTH CAP ST LIMITED(587),W9
W9 - W9 SOUTH CAP ST LIMITED(587),W9c
W9 - W9 SOUTH CAP ST LIMITED(587),W9v1
X1 - X1 BENNING ROAD      (151),X1
X2 - X2 BENNING RD-H ST   (14),X2
X2 - X2 BENNING RD-H ST   (14),X2c
X2 - X2 BENNING RD-H ST   (14),X2v1
